ppo: upd 315 rew/step=0.0004 pi=-0.006 v=0.005 ent=0.536 t=148s
ppo: upd 320 rew/step=0.0006 pi=-0.008 v=0.005 ent=0.562 t=159s
ppo: upd 325 rew/step=-0.0049 pi=-0.007 v=0.023 ent=0.559 t=168s
ppo: upd 330 rew/step=-0.0012 pi=-0.005 v=0.018 ent=0.550 t=178s
ppo: upd 335 rew/step=-0.0003 pi=-0.007 v=0.007 ent=0.521 t=189s
ppo: upd 340 rew/step=-0.0002 pi=-0.006 v=0.008 ent=0.516 t=199s
ppo: upd 345 rew/step=0.0021 pi=-0.007 v=0.004 ent=0.670 t=208s
ppo: upd 350 rew/step=0.0007 pi=-0.005 v=0.009 ent=0.502 t=218s
ppo: upd 355 rew/step=-0.0006 pi=-0.006 v=0.008 ent=0.518 t=227s
ppo: upd 360 rew/step=0.0006 pi=-0.007 v=0.005 ent=0.587 t=237s
ppo: upd 365 rew/step=-0.0002 pi=-0.006 v=0.006 ent=0.578 t=247s
ppo: upd 370 rew/step=0.0023 pi=-0.006 v=0.009 ent=0.680 t=255s
ppo: upd 375 rew/step=-0.0014 pi=-0.006 v=0.012 ent=0.513 t=266s
ppo: upd 380 rew/step=-0.0011 pi=-0.006 v=0.014 ent=0.573 t=277s
ppo: upd 385 rew/step=0.0005 pi=-0.005 v=0.005 ent=0.534 t=288s
ppo: upd 390 rew/step=-0.0002 pi=-0.006 v=0.008 ent=0.543 t=298s
ppo: upd 395 rew/step=0.0021 pi=-0.007 v=0.004 ent=0.643 t=309s
ppo: upd 400 rew/step=-0.0033 pi=-0.007 v=0.016 ent=0.460 t=319s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 400 score=0.105 win[norm/hard/imp]=0.00/0.12/0.00 poss_hard=0.43 pass_hard=0.00
ppo: SHIPPED new best (score 0.105) -> /home/jack/Desktop/hax/haxball-clone/internal/policy/weights/neural_v1.bin
ppo: upd 405 rew/step=0.0009 pi=-0.006 v=0.004 ent=0.524 t=350s
ppo: upd 410 rew/step=-0.0004 pi=-0.006 v=0.008 ent=0.548 t=360s
ppo: upd 415 rew/step=-0.0020 pi=-0.006 v=0.013 ent=0.564 t=369s
ppo: upd 420 rew/step=0.0022 pi=-0.006 v=0.003 ent=0.685 t=379s
ppo: upd 425 rew/step=0.0010 pi=-0.007 v=0.006 ent=0.621 t=390s
ppo: upd 430 rew/step=0.0007 pi=-0.005 v=0.003 ent=0.539 t=400s
ppo: upd 435 rew/step=0.0009 pi=-0.007 v=0.004 ent=0.589 t=410s
ppo: upd 440 rew/step=-0.0000 pi=-0.006 v=0.008 ent=0.512 t=421s
ppo: upd 445 rew/step=0.0015 pi=-0.008 v=0.004 ent=0.622 t=432s
ppo: upd 450 rew/step=0.0008 pi=-0.005 v=0.004 ent=0.491 t=444s
ppo: upd 455 rew/step=0.0005 pi=-0.004 v=0.008 ent=0.473 t=456s
ppo: upd 460 rew/step=0.0013 pi=-0.006 v=0.005 ent=0.601 t=466s
ppo: upd 465 rew/step=0.0015 pi=-0.007 v=0.003 ent=0.563 t=476s
ppo: upd 470 rew/step=0.0022 pi=-0.005 v=0.003 ent=0.595 t=487s
ppo: upd 475 rew/step=0.0008 pi=-0.005 v=0.007 ent=0.562 t=499s
ppo: upd 480 rew/step=0.0012 pi=-0.006 v=0.006 ent=0.537 t=510s
ppo: upd 485 rew/step=0.0017 pi=-0.006 v=0.004 ent=0.587 t=521s
ppo: upd 490 rew/step=-0.0003 pi=-0.004 v=0.011 ent=0.526 t=532s
ppo: upd 495 rew/step=0.0011 pi=-0.005 v=0.004 ent=0.575 t=543s
ppo: upd 500 rew/step=-0.0004 pi=-0.006 v=0.009 ent=0.559 t=553s
ppo: upd 505 rew/step=0.0019 pi=-0.006 v=0.003 ent=0.539 t=564s
ppo: upd 510 rew/step=0.0015 pi=-0.004 v=0.005 ent=0.576 t=576s
ppo: upd 515 rew/step=0.0010 pi=-0.006 v=0.004 ent=0.462 t=587s
ppo: upd 520 rew/step=0.0022 pi=-0.006 v=0.004 ent=0.651 t=596s
ppo: upd 525 rew/step=0.0012 pi=-0.004 v=0.008 ent=0.567 t=607s
ppo: upd 530 rew/step=0.0011 pi=-0.006 v=0.006 ent=0.570 t=617s
ppo: upd 535 rew/step=0.0002 pi=-0.006 v=0.007 ent=0.599 t=627s
ppo: upd 540 rew/step=0.0015 pi=-0.007 v=0.004 ent=0.624 t=638s
ppo: upd 545 rew/step=0.0021 pi=-0.006 v=0.004 ent=0.683 t=650s
ppo: upd 550 rew/step=0.0020 pi=-0.006 v=0.004 ent=0.552 t=662s
ppo: upd 555 rew/step=-0.0000 pi=-0.005 v=0.009 ent=0.582 t=671s
ppo: upd 560 rew/step=0.0006 pi=-0.005 v=0.008 ent=0.623 t=681s
ppo: upd 565 rew/step=-0.0011 pi=-0.005 v=0.014 ent=0.547 t=691s
ppo: upd 570 rew/step=0.0019 pi=-0.006 v=0.004 ent=0.656 t=702s
ppo: upd 575 rew/step=0.0009 pi=-0.005 v=0.008 ent=0.579 t=712s
ppo: upd 580 rew/step=0.0022 pi=-0.006 v=0.003 ent=0.598 t=722s
ppo: upd 585 rew/step=0.0018 pi=-0.006 v=0.005 ent=0.670 t=732s
ppo: upd 590 rew/step=-0.0013 pi=-0.003 v=0.013 ent=0.499 t=742s
ppo: upd 595 rew/step=0.0019 pi=-0.007 v=0.003 ent=0.689 t=751s
ppo: upd 600 rew/step=0.0011 pi=-0.005 v=0.012 ent=0.571 t=761s
export: wrote /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00600.bin (941716 bytes), parity skipped
ppo: added snapshot /home/jack/Desktop/hax/haxball-clone/training/snapshots/snap_00600.bin; league: ['rule:easy 0.56@262', 'rule:normal 0.45@657', 'rule:hard 0.43@661', 'rule:impossible 0.42@280', 'frozen:snap_00300.bin 0.73@444', 'frozen:snap_00600.bin -']
export: wrote /home/jack/Desktop/hax/haxball-clone/training/checkpoints/ppo6.pt.eval.bin (941716 bytes), parity skipped
ppo: GATE upd 600 score=0.057 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.57 pass_hard=0.00
ppo: upd 605 rew/step=0.0024 pi=-0.006 v=0.003 ent=0.649 t=793s
ppo: upd 610 rew/step=0.0011 pi=-0.003 v=0.006 ent=0.622 t=806s
ppo: upd 615 rew/step=0.0001 pi=-0.006 v=0.008 ent=0.574 t=815s
ppo: upd 620 rew/step=0.0017 pi=-0.005 v=0.004 ent=0.688 t=826s
ppo: upd 625 rew/step=-0.0005 pi=-0.006 v=0.009 ent=0.625 t=835s
ppo: upd 630 rew/step=0.0017 pi=-0.007 v=0.003 ent=0.641 t=845s
ppo: upd 635 rew/step=0.0009 pi=-0.005 v=0.004 ent=0.639 t=855s
ppo: upd 640 rew/step=0.0016 pi=-0.006 v=0.004 ent=0.661 t=865s
ppo: upd 645 rew/step=0.0018 pi=-0.005 v=0.004 ent=0.698 t=874s
ppo: upd 650 rew/step=-0.0011 pi=-0.006 v=0.011 ent=0.624 t=883s
ppo: upd 655 rew/step=0.0019 pi=-0.006 v=0.003 ent=0.676 t=893s
ppo: upd 660 rew/step=0.0003 pi=-0.005 v=0.006 ent=0.622 t=903s
ppo: upd 665 rew/step=0.0018 pi=-0.004 v=0.006 ent=0.530 t=915s
ppo: upd 670 rew/step=0.0017 pi=-0.008 v=0.003 ent=0.707 t=926s
ppo: upd 675 rew/step=0.0005 pi=-0.006 v=0.005 ent=0.651 t=936s
ppo: upd 680 rew/step=0.0019 pi=-0.007 v=0.003 ent=0.646 t=947s
ppo: upd 685 rew/step=0.0021 pi=-0.005 v=0.003 ent=0.687 t=957s
ppo: upd 690 rew/step=0.0016 pi=-0.006 v=0.004 ent=0.644 t=967s
ppo: upd 695 rew/step=0.0012 pi=-0.005 v=0.004 ent=0.647 t=978s
ppo: upd 700 rew/step=0.0002 pi=-0.006 v=0.007 ent=0.503 t=988s
ppo: upd 705 rew/step=0.0008 pi=-0.006 v=0.003 ent=0.530 t=998s
ppo: upd 710 rew/step=0.0016 pi=-0.004 v=0.004 ent=0.633 t=1007s
ppo: upd 715 rew/step=0.0011 pi=-0.006 v=0.006 ent=0.521 t=1017s
